file,text,translation,a,b,c,d,note
qlv7_03,"カレー勝負､
魅音が仕込んだのは何？",,"ハンバーグ
汉堡肉","ロースカツ
炸里脊猪排","エビフライ
炸虾","ウスターソース
伍斯特酱",
qlv7_04,"カレー勝負､
圭一のおにぎりは何点だった？",,"100点
100分","10点
10分","0点
0分","及第点
及格分",
qlv7_05,"空腹の圭一､
詩音が差し入れた物は？",,"手作り弁当
手制便当","カップ麺
杯面","おはぎ
牡丹饼","ホールケーキ
整个蛋糕",
qlv7_06,"雛見沢分校､チャイ仏代わりの
振鈴は誰が鳴らしている？",,"校長
校长","知恵
知惠","校医
校医","日直
值日生",
qlv7_07,"圭一が作った
オットセイのキーホルダー､
色は何色？",,"青
青","黄
黄","黒
黑","茶
茶",
qlv7_08,"圭一が興宮に行くときの
移動手段は？",,"自転車
自行车","ローラースケート
旱冰鞋","徒歩
步行","小走り
小跑",
qlv7_09,"興宮で考え事をしていた圭一､
何にぶつかってしまった？",,"バイク
摩托车","自転車
自行车","工事の看板
施工告示牌","スポーツカー
跑车",
qlv7_10,"大石に連行された不良､
詩音が投げた台詞は？",,"おととい来やがれ
别再让我见到你","目障りだ、失せろ
碍眼，滚开","凄い漢だ
了不起的男子汉","私一人で充分だ
我一个人就够了",
qlv7_11,"詩音に迫る不良､
圭一はなんと
言いくるめようとした？",,"着衣の重要性
着装的重要性","水着の重要性
泳装的重要性","メイド服の重要性
女仆装的重要性","ねこ耳の重要性
猫耳的重要性",
qlv7_12,"圭一に助けられた詩音､
何を奢ってくれた？",,"アイスコーヒー
冰咖啡","オムライス
蛋包饭","苺ショート
草莓蛋糕","うどんの出汁
乌冬面汤底",
qlv7_13,"デザートフエスタ､
運ばれてきたのは
｢南国風シナモンの｣何？",,"アバンチュール
冒险","レッセフェール
自由放任","スリール
微笑","ジョリフィーユ
乔利菲尤",
qlv7_14,"デザートフエスタ､
料理をこぼされたズポンの値段は？",,"1,800円
1800元","2,980円
2980元","49,800円
49800元","980円
980元",
qlv7_15,"デザートフェスタ､
店内に響いたのは何コール？",,"フキフキ！
擦擦！","ヌギヌギ！
脱脱！","ブギウギ！
布基乌基！","ブリキー！
布利奇！",
qlv7_16,"デザートフェスタ､
ピンチに陥った圭一､
誰に助けを求めた？",,"部活メンバー
社团成员","父親
父亲","暗黒四天王
暗黑四天王","校長
校长",
qlv7_17,"両親の上京中､
圭一のご飯を
作りに来てくれたのは誰？",,"沙都子と梨花
沙都子和梨花","レナと魅音
蕾娜和魅音","魅音と詩音
魅音和诗音","富竹と鷹野
富竹和鹰野",
qlv7_18,"沙都子､
寝る前に何分歯を磨けと言った？",,"5分以上
5分以上","1分以内
1分以内","3分以上
3分以上","気の済むまで
直到满意为止",
qlv7_19,"沙都子､
兄の事をなんと呼んでいる？",,"にーにー
尼尼","あにぃ
哥","にいや
哥哥","あにしゃん
大哥",
qlv7_20,"井当勝負､
レナの作ったお弁当は？",,"そぼろ弁当
肉末便当","肉巻きお握り
肉卷饭团","熊肉重
熊肉盖饭","サンドイッチ
三明治",
qlv7_21,"井当勝負､
圭一のお弁当に足りない物は何？",,"彩り
色彩","炭水化物
碳水化合物","緑黄色野菜
黄绿色蔬菜","バランス
平衡",
qlv7_22,"弁当勝負､
魅音からビリを宣言されたのは誰？",,"梨花
梨花","沙都子
沙都子","圭一
圭一","沙都子＆梨花
沙都子＆梨花",
qlv7_23,"圭ーが沙都子にリクエストした
料理は何？",,"野菜炒め
炒蔬菜","チースー飯
芝士饭","五目うま煮ご飯
五目烩饭","酢豚
糖醋里脊",
qlv7_24,"沙都子との食事中､
席を立った圭一は
何処へ行くと言った？",,"トイレ
厕所","せっちん
茅房","厠
厕所","お便所
厕所",
qlv7_25,圭一の両親が家を空けた期間は？,,"二晩
两晚","七日
七日","半日
半天","一ヶ月
一个月",
qlv7_26,圭一の家で開かれていたのは何？,,"パーティー
派对","オフ会
线下会","三者面談
三方会谈","親族会議
亲族会议",
qlv7_27,"興宮小学校のグランドに
呼び出された圭一､
何を持ってきた？",,"ゴルフクラブ
高尔夫球杆","金属バット
金属球棒","鉄パイプ
铁管","水鉄砲
水枪",
qlv7_28,"沙都子､
遅れてきた圭一を何に例えた？",,"ガソリンスタンド
加油站","スーパー
超市","市民プール
市民游泳池","野球場
棒球场",
qlv7_29,興宮タイタンズ､亀田君の異名は？,,"弾丸直球
子弹直球","ひげそり投法
剃须刀投法","フォークの神様
叉子之神","ケンカ投法
打架投法",
qlv7_30,"前原圭一､
喧嘩と勘違いしたのは何？",,"野球
棒球","サッカー
足球","バスケットボール
篮球","ポケバイレース
迷你摩托车赛",
qlv7_31,"亀田に迫る圭一､
何を例えに屈服させた？",,"焼き肉食い放題
烤肉畅吃","デカ盛り食堂
大份量食堂","スイーツ食い放題
甜点畅吃","アイドル握手会
偶像握手会",
qlv7_32,亀田が好きな食べ物は？,,"洋菓子
洋点心","骨付きカルビ
带骨牛小排","ロース
里脊","ちゃんこ鍋
相扑火锅",
qlv7_33,"興宮タイタンズ戦､
最後は何で決着がついた？",,"ホームラン
本垒打","満塁ホームラン
满垒本垒打","犠牲フライ
牺牲高飞球","ツーベースヒット
二垒安打",
qlv7_34,"興宮タイタンズ戦､
監督が約束したご褒美は？",,"バーベキュー大会
烧烤大会","焼き芋大会
烤红薯大会","お寿司食べ放題
寿司畅吃","スイーツ食べ放題
甜点畅吃",
qlv7_35,"監督の名前を間違えていた圭一､
なんと言った？",,"入谷
入谷","入山
入山","入川
入川","入岡
入冈",
qlv7_36,"北条悟史､
雛見沢に居ない理由は
なんとされていた？",,"転校
转学","入院
住院","事故死
事故死","留学
留学",
qlv7_37,古手梨花､村の何とされている？,,"マスコット
吉祥物","生き字引
活字典","祟り
作祟","良心
良心",
qlv7_38,"入江監督､
沙都子を養子に迎え
どうしたいと言った？",,"可憐なメイド
可爱的女仆","魔法少女
魔法少女","女神
女神","村のアイドル
村里的偶像",
qlv7_39,"園崎詩音､
雛見沢ファイターズの何？",,"幽霊マネージャー
幽灵经理","幻の控え投手
梦幻替补投手","ピンチヒッター
代打","真の監督
真正的监督",
qlv7_40,"富田と岡村､
ポールが何処に挟まったと
言っていた？",,"２階の雨どい
二楼的雨水槽","物置の屋根
储物间屋顶","重機の隙間
重型机械的缝隙","側溝の奥
水沟深处",
qlv7_41,"分校に来た大石､
圭一を沙都子の何と揶揄した？",,"マネージャー
经理","彼氏
他","お兄さん
哥哥","保護者
监护人",
qlv7_42,"分校来左大石､
圭一の家を何と揶揄した？",,"前原屋敷
前原宅邸","前原ホテル
前原酒店","前原庭園
前原庭园","前原豪邸
前原豪宅",
qlv7_43,"カ尽くで圭一に詰め寄る大石､
制止したのは誰？",,"入江
入江","詩音
诗音","知恵
知惠","魅音
魅音",
qlv7_44,"大石刑事､
雛見沢では｢オヤシロさま｣の
｢何｣と噂されている？",,"使い
使者","生まれ変わり
转世重生","影
影","しもべ
仆从",
qlv7_45,"セプブンスマートで出会った夏美､
誰の知り合い？",,"魅音
魅音","レナ
蕾娜","沙都子
沙都子","圭一
圭一",
qlv7_46,"綿流し祭､
圭一の両親が
行きそびれた理由は？",,"父が起きなかった
爸爸没有醒来","母が熱を出した
妈妈发烧了","新刊が落ちた
新刊掉了","エジプト旅行中
埃及旅行中",
qlv7_47,"本格推理ゲームに挑んだ圭一､
自分をなんと呼称した？",,"シャーロック前原
夏洛克・前原","アルセーヌ前原
亚森・前原","前原コゴロウ
前原小五郎","江戸川ケーイチ
江户川圭一",
qlv7_48,"圭一が手を止めた犯人カード､
何と書いてあった？",,"悟史
悟史","詩音
诗音","オニカクシ
鬼隐","オヤシロサマ
御社大人",
qlv7_49,"圭一宛の電話､
大石はなんと名乗った？",,"興宮書房の大石
兴宫书房的大石","雛見沢分署の大石
雏见泽分署的大石","捜査一課の目暮
搜查一课的目暮","胃腸の弱い永沢
肠胃弱的永泽",
qlv7_50,鬼隠し､世間で言う何？,,"神隠し
神隐","金縛り
鬼压床","幽体離脱
灵魂出窍","記憶喪失
记忆丧失",
qlv7_51,鬼隠し､三年目の犠牲者は誰？,,"梨花の両親
梨花的父母","沙都子の叔母
沙都子的叔母","悟史
悟史","現場監督
现场监督",
qlv7_52,鬼隠し､一年目の犠牲者は誰？,,"現場監督
现场监督","梨花の父親
梨花的父亲","梨花の母親
梨花的母亲","分校の先生
分校的老师",
qlv7_53,"魅音が持ってきたおはぎ､
何に包まれていた？",,"新聞紙
报纸","包装紙
包装纸","ラップ
保鲜膜","タッパー
保鲜盒",
qlv7_54,"悟史と圭一､
共に突然持ち歩くように
なったのは何？",,"バット
球棒","ゴルフクラブ
高尔夫球杆","鉄パイプ
铁管","ぬいぐるみ
毛绒玩具",
qlv7_55,"大石が足りないと感じた警邏車､
何人乗っていた？",,"2人
2人","4人
4人","5人
5人","1人
1人",
qlv7_56,"鬼隠し編､
圭ーが最後に伝えた言葉は何？",,"ごめんなさい
对不起","喉が痒い…
喉咙好痒…","嘘だ！
骗人！","俺じゃない…
不是我…",
qlv7_57,"圭一を轢き逃げたワゴン車､
色は何？",,"白
白","黒
黑","ツートン
双色","グレー
灰色",
qlv7_58,コンシューマ版｢奉｣､主題歌は何？,,"僕達はもう知ってる
我们已经知道","君は何も知らない
你什么都不知道","僕らの雛見沢
我们的雏见泽","僕はきっと知ってる
我肯定知道",
qlv7_59,原作版｢奉｣主題歌は何？,,"あの日へ
向着那一天","光へ
向着光","あの日ね
那一天呢","汝、奉り給え
汝、供奉吧",
qlv7_60,"原作版から使用されている､ 
daiの代表曲といえば？",,"you
you","me
me","hope
hope","Answer
Answer",
qlv8_01,"縁日の焼きそば､
今年は何入りと言っていた？",,"イカリング
炸鱿鱼圈","豚肉
猪肉","タマネギ
洋葱","飛騨牛
飞騨牛",
qlv8_02,"たこ焼き屋台のオヤジ､
拘りのタコの産地は？",,"明石
明石","モーリタニア
毛里塔尼亚","三原
三原","日間賀島
日间贺岛",
qlv8_03,"縁日の金魚すくい､
金魚を見た詩音はなんと言った？",,"実に美味しそう！
看起来真好吃！","お姉と分けっこ
和姐姐分享","とっても可愛い！！
超可爱！！","活きがいい！
很新鲜！",
qlv8_04,"祭を抜け出した圭一と詩音､
暗闇で出会ったのは？",,"富竹と鷹野
富竹和鹰野","大石と熊谷
大石和熊谷","知恵と入江
知惠和入江","沙都子と悟史
沙都子和悟史",
qlv8_05,"境内の裏に居た鷹野､
何が綺麗な夜と言った？",,"お月様
月亮大人","蛍火
萤火","花火
烟花","演舞
演舞",
qlv8_06,"富竹と鷹野､
金庫破りをしようとしたのは何処？",,"祭具殿
祭具殿","賽銭箱
赛钱箱","酒蔵
酒窖","社務所
社务所",
qlv8_07,"祭具殿に忍び込んだ圭一達､
中で見た物は？",,"拷問器具
拷问器具","大人向けの雑誌
成人杂志","御神輿
神轿","ランディ君人形
兰迪君人偶",
qlv8_08,"底なしの鬼ヶ淵沼､
何処に繋がると言われていた？",,"鬼の国
鬼之国","夢の国
梦之国","黄泉の国
黄泉之国","黄金郷
黄金乡",
qlv8_09,"祭具殿の侵入に気づいた梨花､
なにが忍び込んだと言った？",,"猫さん
猫小姐","圭一
圭一","鷹野
鹰野","ワンワン
汪汪",
qlv8_10,"綿流し編､
会合の後､行方不明に
なったのは誰？",,"村長
村长","詩音の父
诗音父亲","詩音の母
诗音母亲","梨花
梨花",
qlv8_11,"綿流し編､
梨花を心配した圭一､
誰に電話を掛けた？",,"レナ
蕾娜","詩音
诗音","沙都子
沙都子","魅音
魅音",
qlv8_12,"梨花の住まいを訪ねた圭一､
レナはなんと言った？",,"神社の裏手の小屋
神社后面的小屋","沙都子の家の隣
沙都子家隔壁","神社の集会所
神社的集会所","興宮のホテル
兴宫的旅馆",
qlv8_13,"元気の無い圭一､
炊き出しの味噌汁をどうした？",,"断った
拒绝了","飲み干した
喝干了","おかわりした
续了一碗","頭から被った
从头套上",
qlv8_14,"園崎本家､
自宅周辺に配置したのは何？",,"監視カメラ
监控摄像头","沙都子のトラップ
沙都子的陷阱","飛び出し坊や
飞出行人牌","ペットボトル
塑料瓶",
qlv8_15,"園崎本家､
庭では何が採れると噂されている？",,"松茸
松茸","タラの芽
楤木芽","タマゴタケ
鹅膏菌","トリュフ
松露",
qlv8_16,"園崎家所有の森､
その入山料はいく5？",,"百万円
百万元","無料
免费","米一俵
一俵米","五百円
五百元",
qlv8_17,"綿流し編､
魅音と名乗る者に宿ったのは何？",,"鬼
鬼","オヤシロさま
御社神大人","悟史
悟史","宇宙人
外星人",
qlv8_18,園崎家､次期頭首は？,,"魅音
魅音","詩音
诗音","眞音
真音","瑠音
瑠音",
qlv8_19,"祟殺し編､
沙都子はなんと言って
学校を休んだ？",,"風邪
感冒","頭痛
头痛","骨折
骨折","麻疹
麻疹",
qlv8_20,"祟殺し編､
帰ってきた沙都子の血縁は誰？",,"叔父
叔父","叔母
叔母","兄
哥哥","両親
双亲",
qlv8_21,"北条鉄平､
沙都子の父親の何にあたる？",,"弟
弟弟","兄
哥哥","従兄弟
表兄弟","叔父
叔父",
qlv8_22,鉄平の麻雀仲間は誰？,,"椿
椿","赤坂
赤坂","各務
各务","大石
大石",
qlv8_23,"祟殺し編､
圭一が沙都子の家で
鉢合わせたのは誰？",,"監督
监督","大石
大石","村長
村长","知恵
知惠",
qlv8_24,"祟殺し編､
豹変した沙都子､
圭一をどこから突き飛ばした？",,"吊り橋
吊桥","崖
崖","屋上
屋顶","歩道
人行道",
qlv8_25,"祭具殿に忍び込んだ
幼少時の沙都子､
身代わりとなって罰を受けたのは？",,"梨花
梨花","魅音
魅音","悟史
悟史","沙都子の母
沙都子母亲",
qlv8_26,"祟殺し編､
入江の死因とされた物は？",,"睡眠薬
安眠药","交通事故
交通事故","多臓器不全
多脏器衰竭","窒息
窒息",
qlv8_27,"祟殺し編
病気の沙都子を連れ出した圭一､
沙都子はどんな姿だった？",,"バスタオル
浴巾","パジャマ
睡衣","レインコート
雨衣","普段着
便服",
qlv8_28,"離見沢村のガスによる
大災害が起きたのはいつ？",,"6月22日未明
6月22日凌晨","6月27日未明
6月27日凌晨","10月4日未明
10月4日凌晨","7月26日未明
7月26日凌晨",
qlv8_29,"暇潰し編､
舞台となった時代はいつ？",,"昭和53年
昭和53年","昭和60年
昭和60年","昭和47年
昭和47年","平成元年
平成元年",
qlv8_30,"暇潰し編､
雛見沢ダム建設に関わる
建設大臣は誰？",,"犬飼
养狗人","羊飼
牧羊人","牛飼
牧牛人","馴鹿
驯鹿",
qlv8_31,赤坂の妻の名前は？,,"雪絵
雪绘","美幸
美幸","美雪
美雪","梨花
梨花",
qlv8_32,"全職員招集を受けた赤坂､
緊張感を持つため何を思った？",,"精神を鋭利に
让精神敏锐","感覚を研ぎ澄ませ
磨砺感觉","空間を把握しろ
把握空间","アンテナを張れ
架起天线",
qlv8_33,"情報屋を利用する赤坂､
謝礼の区分は？",,"甲乙丙
甲乙丙","大中小
大中小","松竹梅
松竹梅","イロハ
伊吕波",
qlv8_34,"鬼ヶ淵村､
何が住むと言われている？",,"人食い鬼
食人鬼","かまいたち
镰鼬","烏天狗
鸦天狗","悪戯狸
恶作剧狸猫",
qlv8_35,"暇潰し編､
雛見沢を訪れた赤坂は
何処に泊まっていた？",,"安いホテル
便宜的旅馆","キャンプ
露营","民宿
民宿","興宮署
兴宫署",
qlv8_36,"大石との麻雀勝負､
ピンチになった赤坂が
取った行動は？",,"クシャミ
喷嚏","イカサマ
欺诈","急用で帰った
因急事回去了","失神
失神",
qlv8_37,"麻雀を嗜む赤坂､
若い頃に暴れまわったのは
早稲田と何処？",,"高田馬場
高田马场","八丁堀
八丁堀","門前仲町
门前仲町","浦安
浦安",
qlv8_38,"誘拐犯のヒントを得た大石､
向かったのは何処？",,"営林署の器材小屋
营林署的器材小屋","分校の資材置き場
分校的材料堆放处","谷河内の廃屋
谷河内的废屋","園崎家の地下
园崎家的地下",
qlv8_39,"目明し編､
脱走しようとした詩音､
7本の鍵への期待値は？",,"3.5本
3.5根","2.5本
2.5根","1本
1根","7本
7根",
qlv8_40,"目明し編､
脱走に成功した詩音､
何を食べたいと言った？",,"銀シャリ
白米饭","焼肉
烤肉","ハンバーガー
汉堡包","麦飯
麦饭",
qlv8_41,入江が例えた悟史の打率は？,,"煎餅の値引き率
煎饼的折扣率","餃子のうまさ
饺子的美味","赤い物の速度
红色物体的速度","外来の自己負担額
外来自费负担额",
qlv8_42,"目明し編､
園崎本家に呼び出された詩音を
出迎えたのは誰？",,"魅音
魅音","沁子
沁子","茜
茜","葛西
葛西",
qlv8_43,"目明し編､
大石は誰のアリバイを調べていた？",,"悟史
悟史","詩音
诗音","沙都子
沙都子","鉄平
铁平",
qlv8_44,"沙都子に克服させたい野菜､
ナス､ピーマンもう1つは何？",,"アスパラガス
芦笋","レンコン
莲藕","トマト
西红柿","ブロッコリー
西兰花",
qlv8_45,"催眠スプレーを吹き付ける梨花､
詩音は何で対抗した？",,"スタンガン
电击枪","バット
球棒","包丁
菜刀","高枝切りばさみ
高枝剪",
qlv8_46,古手神社の至宝は何？,,"フワラズの勾玉
弗瓦拉兹的勾玉","魔法の鏡
魔法之镜","オヤシロステッキ
御社神杖","ニパニパワー
咪啪咪啪力量",
qlv8_47,"昼壊し編､
宝探しの休憩で
レナが差し入れた物は？",,"クッキー
饼干","お弁当
便当","カップケーキ
杯子蛋糕","おはぎ
牡丹饼",
qlv8_48,"フワラズの勾玉､
白の勾玉を最初に拾ったのは誰？",,"富竹
富竹","レナ
蕾娜","鷹野
鹰野","圭一
圭一",
qlv8_49,"フワラズの勾玉､
赤の勾玉を持っていたのは誰？",,"レナ
蕾娜","鷹野
鹰野","富竹
富竹","入江
入江",
qlv8_50,"梨花が持つ
通称｢妖気探知機｣はどんな形？",,"方位磁石
指南针","腕時計
手表","ペンデュラム
钟摆","カーナビ
车载导航",
qlv8_51,"昼壊し編､
レナの部屋に置かれていた
本はどれ？",,"現代メイド理論
现代女仆理论","近代メイド図鑑
近代女仆图鉴","メイドマガジン
女仆杂志","メイド＆タイツ
女仆＆连裤袜",
qlv8_52,"入江の言う三大属性､
｢甘えっ子｣｢ツンデレ｣あと一つは？",,"意外に家庭的
意外地顾家","ポニーテール
马尾辫","義理の妹
义妹","実は男の娘
其实是伪娘",
qlv8_53,"昼壊し編
レナの投球に苦戦する圭一､
誰と交代した？",,"沙都子
沙都子","悟史
悟史","魅音
魅音","監督
监督",
qlv8_54,"罪滅し編､
クラスメイト全員が参加した
競技は何？",,"水鉄砲対決
水枪对决","わんこそば対決
碗子荞麦面对决","流しそうめん対決
流水素面对决","缶蹴り
踢罐子",
qlv8_55,水鉄砲対決､その結果は？,,"引き分け
平局","圭一の勝利
圭一的胜利","レナの勝利
蕾娜的胜利","梨花の勝利
梨花的胜利",
qlv8_56,"罪滅し編ラスト､
圭一は何を宣言した？",,"勝利宣言
胜利宣言","敗北宣言
败北宣言","リベンジ宣言
复仇宣言","プロポーズ
求婚",
qlv8_57,"罪滅し編､
レナが学校に撤いたのは何？",,"ガソリン
汽油","除草剤
除草剂","石灰岩
石灰岩","灯油
煤油",
qlv8_58,"エンジェルモートの
衣装サイズが合わない梨花､
何を着た？",,"スクール水着
死库水","メイド服
女仆装","巫女服
巫女服","魔法少女
魔法少女",
qlv8_59,"梨花の罰ゲーム衣装の
素晴らしさを解いたのは誰？",,"富田と岡村
富田和冈村","荒川と利根川
荒川和利根川","花田と藤田
花田和藤田","大石と富竹
大石和富竹",
qlv8_60,喫茶店で葛西が頼んだ物は何？,,"日替わりデザート
每日特选甜点","日替わりランチ
每日特选午餐","オムライス
蛋包饭","ナポリタン
拿坡里意面",
